"ID","Name","RA","DEC","Obj. Type","Repeater of Primary Burst","DM","DM-Err","DM-Units","Gal. DM Limit","Gal. DM Model","Barycentric Datetime","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"151355","AT 2024iqf","11:00:47.204","-40:46:32.27","","","","","","","","","","","","ATLAS, GOTO","ATLAS, GOTO","","ATLAS; GOTO","ATLAS24hem","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, GOTO-S - GOTO-3","","1","1","","18.911","cyan-ATLAS","2024-05-11 19:40:56.640","ATLAS_Bot1","","2024TNSTR1480....1T","",""
"151349","AT 2024iqa","12:17:23.287","+15:17:19.77","","","","","","","","","","","","GOTO, ZTF","GOTO, ZTF","","GOTO; ZTF","GOTO24bll","GOTO-N - GOTO-2, P48 - ZTF-Cam","","1","1","","19.76","L-GOTO","2024-05-11 21:58:10.560","GOTO_bot","","2024TNSTR1482....1K","",""
"151337","AT 2024ipo","11:44:50.088","+21:20:27.45","","","","","","","","","","","","ZTF, GOTO, ATLAS, Fink","ZTF, GOTO, ATLAS","","ATLAS; Fink; GOTO; ZTF","ZTF24aamtwya","ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam","","1","1","","20.6504","r-ZTF","2024-05-08 05:07:18.001","Fritz","","2024TNSTR1472....1G","",""
"151330","AT 2024iph","15:06:20.725","+30:45:14.01","","","","","","","","","","","","ZTF, GOTO","ZTF, GOTO","","GOTO; ZTF","ZTF24aampesu","GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam","","1","1","","20.9965","g-ZTF","2024-05-07 07:14:50.000","Fritz","","2024TNSTR1473....1R","",""
"151328","SN 2024ipf","17:49:21.687","+14:58:34.07","SN Ia","","","","","","","","0.052","","","ZTF, GOTO, Fink, ATLAS","ZTF, GOTO, ATLAS","ZTF","ATLAS; Fink; GOTO; ZTF","ZTF24aamtsgz","ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-1, P48 - ZTF-Cam","P60 - SEDM","1","1","","20.7308","r-ZTF","2024-05-08 09:33:03.000","Fritz","","2024TNSTR1472....1G","2024TNSCR1549....1F",""
"151327","AT 2024ipe","19:48:33.396","+08:51:03.02","","","","","","","","","","","","ZTF, GOTO, ATLAS","ZTF, GOTO, ATLAS","","ATLAS; GOTO; ZTF","ZTF24aancjzy","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-1, GOTO-S - GOTO-3, P48 - ZTF-Cam","","1","1","","18.8517","r-ZTF","2024-05-11 10:13:31.998","Fritz","","2024TNSTR1472....1G","",""
"151323","AT 2024ipa","19:11:14.111","+28:43:16.63","","","","","","","","","","","","GOTO","GOTO","","GOTO","GOTO24bht","GOTO-N - GOTO-1","","1","1","","20.45","L-GOTO","2024-05-05 05:14:14.208","GOTO_bot","","2024TNSTR1458....1U","",""
"151321","AT 2024ioy","16:39:44.595","+39:38:12.13","","","","","","","","","","","","ALeRCE, GOTO, YSE, Pan-STARRS","ZTF, GOTO, Pan-STARRS","","ALeRCE; GOTO; Pan-STARRS; YSE","ZTF24aammkvn","GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","","1","1","","20.4434","r-ZTF","2024-05-07 09:22:16.997","ALeRCE","","2024TNSTR1453....1M","",""
"151309","AT 2024iom","06:01:49.640","-51:07:40.58","","","","","","","","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia24biw","Gaia - Gaia-photometric","","1","1","","16.32","G-Gaia","2024-05-02 20:13:55.200","Gaia_Bot1","","2024TNSTR1456....1H","",""
"151307","AT 2024iok","05:13:36.570","+77:28:42.64","","","","","","","","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia24biv","Gaia - Gaia-photometric","","1","1","","17.19","G-Gaia","2024-03-27 12:33:07.200","Gaia_Bot1","","2024TNSTR1456....1H","",""
"151306","AT 2024ioj","05:49:25.740","+10:20:44.16","","","","","","","","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia24biu","Gaia - Gaia-photometric","","1","1","","18.36","G-Gaia","2024-05-02 15:10:04.800","Gaia_Bot1","","2024TNSTR1456....1H","",""
"151305","AT 2024ioi","05:49:58.780","+20:13:04.91","","","","","","","","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia24bis","Gaia - Gaia-photometric","","1","1","","18.37","G-Gaia","2024-05-02 21:20:09.600","Gaia_Bot1","","2024TNSTR1456....1H","",""
"151304","AT 2024ioh","17:44:35.940","-52:19:38.71","","","","","","","","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia24bir","Gaia - Gaia-photometric","","1","1","","16.46","G-Gaia","2024-05-02 13:03:21.600","Gaia_Bot1","","2024TNSTR1456....1H","",""
"151303","AT 2024iog","17:50:54.940","-16:04:31.48","","","","","","","","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia24biq","Gaia - Gaia-photometric","","1","1","","17.47","G-Gaia","2024-05-02 18:28:48.000","Gaia_Bot1","","2024TNSTR1456....1H","",""
"151302","AT 2024iof","17:51:13.820","-23:56:05.28","","","","","","","","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia24bip","Gaia - Gaia-photometric","","1","1","","14.96","G-Gaia","2024-05-03 02:22:33.600","Gaia_Bot1","","2024TNSTR1456....1H","",""
"151300","AT 2024iod","17:49:32.360","-30:05:27.49","","","","","","","","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia24bik","Gaia - Gaia-photometric","","1","1","","18.7","G-Gaia","2024-05-02 14:28:19.200","Gaia_Bot1","","2024TNSTR1456....1H","",""
"151299","AT 2024ioc","17:53:46.990","-23:11:10.36","","","","","","","","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia24bij","Gaia - Gaia-photometric","","1","1","","16.58","G-Gaia","2024-05-03 12:36:00.000","Gaia_Bot1","","2024TNSTR1456....1H","",""
